long,lat,id,nombre,linea,linea_2,ramal,barrio,comuna,localidad,partido
-58.4249824,-34.5717485,1,3 de Febrero,Mitre,F.C.G.B.M., Retiro - Mitre,Palermo,Comuna 14,,
-58.4618081,-34.5680506,35,Belgrano R,Mitre,F.C.G.B.M., Retiro - Mitre,Belgrano,Comuna 13,,
-58.4753485,-34.5652607,90,Coghlan,Mitre,F.C.G.B.M., Retiro - Mitre,Coghlan,Comuna 12,,
-58.448253,-34.5729746,91,Colegiales,Mitre,F.C.G.B.M., Retiro - Mitre,Colegiales,Comuna 13,,
-58.49413,-34.5230887,119,Dr. Cetrángolo,Mitre,F.C.G.B.M., Retiro - Mitre,,,Florida,Vicente L\u00f3pez
-58.4944563,-34.5304745,141,Florida,Mitre,F.C.G.B.M., Retiro - Mitre,,,Florida,Vicente L\u00f3pez
-58.494657,-34.5425501,200,Juan B. Justo,Mitre,F.C.G.B.M., Retiro - Mitre,,,Florida,Vicente L\u00f3pez
-58.435404,-34.575705,272,Ministro Carranza,Mitre,F.C.G.B.M., Retiro - Mitre,Palermo,Comuna 14,,
-58.4896092,-34.5154718,273,Mitre,Mitre,F.C.G.B.M., Retiro - Mitre,,,Olivos,Vicente L\u00f3pez
-58.4870632,-34.5540735,346,Saavedra,Mitre,F.C.G.B.M., Retiro - Mitre,Saavedra,Comuna 12,,
-58.8029392,-35.2814201,3,Abbot,Roca,F.C.G.R., Plaza Constitución - Monte,,,,
-58.7881853,-35.1651382,214,La Noria,Roca,F.C.G.R., Plaza Constitución - Monte,,,,
-58.8176656,-35.4366533,276,Monte,Roca,F.C.G.R., Plaza Constitución - Monte,,,,
-58.5038385,-34.4800686,5,Acassuso,Mitre,F.C.G.B.M., Retiro - Tigre,,,Acassuso,San Isidro
-58.5265437,-34.4608043,32,Béccar,Mitre,F.C.G.B.M., Retiro - Tigre,,,Beccar,San Isidro
-58.4489445,-34.5588016,34,Belgrano C,Mitre,F.C.G.B.M., Retiro - Tigre,Belgrano,Comuna 13,,
-58.5674401,-34.4375361,65,Carupá,Mitre,F.C.G.B.M., Retiro - Tigre,,,San Fernando,San Fernando
-58.4884466,-34.4975978,212,La Lucila,Mitre,F.C.G.B.M., Retiro - Tigre,,,La Lucila,Vicente L\u00f3pez
-58.4965804,-34.4885346,262,Martínez,Mitre,F.C.G.B.M., Retiro - Tigre,,,Mart\u00ednez,San Isidro
-58.4628516,-34.5482911,287,Núñez,Mitre,F.C.G.B.M., Retiro - Tigre,Nu\u00f1ez,Comuna 13,,
-58.4806636,-34.5077139,291,Olivos,Mitre,F.C.G.B.M., Retiro - Tigre,,,Olivos,Vicente L\u00f3pez
-58.376129,-34.5899757,332,Retiro LM,Mitre,F.C.G.B.M., Retiro - Tigre,Retiro,Comuna 1,,
-58.4680326,-34.5365204,337,Rivadavia,Mitre,F.C.G.B.M., Retiro - Tigre,Nu\u00f1ez,Comuna 13,,
-58.5587407,-34.4443381,355,San Fernando C,Mitre,F.C.G.B.M., Retiro - Tigre,,,San Fernando,San Fernando
-58.5133831,-34.4722074,357,San Isidro C,Mitre,F.C.G.B.M., Retiro - Tigre,,,San Isidro,San Isidro
-58.5817289,-34.423567,389,Tigre,Mitre,F.C.G.B.M., Retiro - Tigre,,,Tigre,Tigre
