long,lat,smp,calle_nombre,calle_altura,tipo1_16,tipo2_16,pisos_16,nombre,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4537242793765,-34.5939950837715,047-106-028,"ARENAL, CONCEPCION",4519,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427EKW
-58.442584287487,-34.5881917417302,033-044-012,BONPLAND,1147,GA,GARAGE,1,,CHACARITA,15.0,1414,C1414CMI
-58.4410046276298,-34.5875191127692,033-056C-023A,CORDOBA,5640,GA,GARAGE,1,,CHACARITA,15.0,1414,C1414BBP
-58.4446504361206,-34.5903831279642,033-012-031,"RAMIREZ DE VELAZCO, JUAN",1418,GA,GARAGE,1,,CHACARITA,15.0,1414,C1414ARD
-58.4448407881501,-34.5890183830212,033-023-032,BONPLAND,966,GA,GARAGE,1,,CHACARITA,15.0,1414,C1414CMF
-58.4489116811936,-34.5900988914175,033-008-026A,CORRIENTES AV.,6349,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427BPB
-58.4495888021084,-34.5875110765872,033-017-002,GUEVARA,326,GA,CERRADO,2,,CHACARITA,15.0,1427,C1427BRH
-58.4477089123588,-34.5875628782151,033-025-024A,"ARENAL, CONCEPCION",3884,GA,GARAGE,3,JORMAR,CHACARITA,15.0,1427,C1427EKJ
-58.4468838841411,-34.5863378877837,033-036-009,ROSETI,112,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427BVD
-58.4469858860701,-34.5839294110908,033-061-003A,CORDOBA,6130,GA,GARAGE,2,,CHACARITA,15.0,1427,C1427BZO
-58.4449138363273,-34.5835714505022,033-073-047A,DORREGO,1560,GA,GARAGE,2,,CHACARITA,15.0,1414,C1414CKX
-58.4483217260736,-34.5819391295383,033-075-015,"NEWBERY, JORGE",3424,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427EGN
-58.4507889109349,-34.5874207343707,033-018-042,"NEWBERY, JORGE",3951,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427EGF
-58.4522589442343,-34.5853778835011,033-029-014,OLLEROS,3934,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427EEJ
-58.4499926232178,-34.5852478547574,033-039-037,"NEWBERY, JORGE",3735,GA,CERRADO,1,,CHACARITA,15.0,1427,C1427EGD
-58.4534992205348,-34.580288096171,037-016-011A,PALPA,3524,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427EBB
-58.4529970243926,-34.5807265971514,037-016-024J,"GARCIA, TEODORO",3567,GA,GARAGE,2,,CHACARITA,15.0,1427,C1427ECA
-58.4549646180575,-34.5800238009963,037-017-006K,CESPEDES,3560,GA,GARAGE,2,,CHACARITA,15.0,1427,C1427EAB
-58.458028474071,-34.5795204227757,037-020-026E,GIRIBONE,1133,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427CAO
-58.4593400094111,-34.5801597640168,049-163-023C,"LORETO, Virrey",3735,GA,GARAGE,1,,CHACARITA,15.0,1427,C1427DXC
-58.4602134692793,-34.5791704442773,049-165-006,ELCANO,3662,GA,GARAGE,5,,CHACARITA,15.0,1427,C1427CHN
-58.4709649237737,-34.6017546301099,059-029-005,SAN MARTIN,3364,GA,GARAGE,2,,PATERNAL,15.0,,
